State,County,Life expectancy,Premature age-adjusted mortality,Child mortality,Infant mortality,Frequent physical distress,Diabetes prevalence,HIV prevalence,Food insecurity,Limited access to healthy foods,Drug overdose deaths,Motor vehicle crash deaths,Insufficient sleep,Uninsured adults,Other primary care providers,High school graduation,Disconnected youth,Reading scores,Math scores,School segregation,School funding adequacy,Gender pay gap,Median household income,Children eligible for free or reduced price lunch,Residential segregation - Black/white,Childcare cost burden,Childcare centers,Homicides,Suicides,Firearm fatalities,Juvenile arrests,Traffic volume,Homeownership,Severe housing cost burden,Broadband access,Population,% female,% rural
State,County,Life Expectancy,# Deaths,# Deaths,# Deaths,% Frequent Physical Distress,% Adults with Diabetes,# HIV Cases,# Food Insecure,# Limited Access,# Drug Overdose Deaths,# Motor Vehicle Deaths,% Insufficient Sleep,# Uninsured,Other Primary Care Provider Rate,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance,Segregation index,Spending per-pupil,Gender Pay Gap,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation index,% household income required for childcare expenses,# childcare centers,Homicide Rate,# Deaths,# Firearm Fatalities,Juvenile Arrest Rate,Traffic Volume,# Homeowners,# Households with Severe Cost Burden,% Broadband Access,Population,% female,# rural residents
Illinois,Lake,81.0,6217.0,229.0,228.0,10,9,824.0,49020,41871.0,304.0,357.0,32,40847.0,84.0,,5.0,3.1,3.1,0.24,19922.0,0.77,100325.0,32.0,63.0,18.0,160.0,3.0,346.0,196.0,8.0,268,182892,31603.0,91,693593,50.0,8915.0
Illinois,LaSalle,76.5,1692.0,49.0,64.0,13,10,76.0,12700,8569.0,102.0,119.0,36,4854.0,71.0,,6.0,2.9,2.8,0.07,16002.0,0.67,62714.0,46.0,54.0,23.0,20.0,2.0,95.0,35.0,12.0,142,32605,4597.0,85,107571,49.5,34422.0
Illinois,Lawrence,75.1,274.0,,,14,11,8.0,2200,1328.0,,26.0,37,689.0,45.0,,,3.1,2.8,0.04,11324.0,0.65,47408.0,55.0,80.0,24.0,3.0,,15.0,,6.0,56,4406,344.0,80,15467,44.1,9766.0
Illinois,Lee,78.3,527.0,,,12,10,22.0,3830,2106.0,20.0,34.0,35,1337.0,98.0,,,2.6,2.5,0.04,15852.0,0.71,64310.0,46.0,55.0,22.0,9.0,,35.0,18.0,8.0,151,9485,1254.0,80,33647,46.9,19173.0
Illinois,Livingston,76.1,589.0,13.0,,14,10,71.0,4380,2530.0,33.0,43.0,36,1508.0,99.0,,6.0,2.9,2.9,0.05,15171.0,0.72,66274.0,42.0,50.0,21.0,3.0,,30.0,14.0,,79,10333,1485.0,81,35414,49.5,15893.0
Illinois,Logan,76.8,429.0,12.0,,12,9,53.0,2970,2189.0,15.0,24.0,35,918.0,63.0,,,3.1,3.1,0.07,15042.0,0.78,65255.0,47.0,71.0,21.0,5.0,,19.0,11.0,6.0,110,7815,890.0,80,28383,49.0,12081.0
Illinois,McDonough,77.8,381.0,12.0,,13,10,22.0,4020,3204.0,,22.0,36,1391.0,75.0,,,2.6,2.4,0.08,14119.0,0.78,52155.0,50.0,52.0,25.0,6.0,,21.0,10.0,14.0,111,7323,2034.0,75,29295,51.0,9622.0
Illinois,McHenry,80.3,2973.0,95.0,96.0,10,9,135.0,20670,19795.0,168.0,194.0,34,15981.0,59.0,,5.0,3.1,3.2,0.08,17177.0,0.74,89730.0,27.0,58.0,23.0,65.0,1.0,165.0,74.0,5.0,177,90779,11428.0,94,305888,50.2,30501.0
Illinois,McLean,79.4,1678.0,63.0,85.0,11,9,188.0,16340,14890.0,83.0,82.0,33,6647.0,94.0,,3.0,3.1,3.1,0.13,13835.0,0.75,71919.0,36.0,44.0,24.0,33.0,3.0,107.0,66.0,14.0,336,43005,6913.0,85,171256,51.5,27974.0
Illinois,Macon,76.3,1780.0,68.0,82.0,13,11,157.0,13510,9390.0,79.0,100.0,36,4153.0,150.0,,10.0,2.6,2.4,0.24,11774.0,0.74,57601.0,55.0,55.0,26.0,21.0,8.0,71.0,67.0,16.0,259,30265,4946.0,81,103015,52.1,16905.0
Illinois,Macoupin,76.7,722.0,23.0,23.0,13,9,29.0,5310,2010.0,32.0,55.0,33,2046.0,56.0,,12.0,3.0,2.9,0.05,12261.0,0.77,53312.0,50.0,72.0,26.0,8.0,,41.0,24.0,4.0,71,13986,1641.0,80,44567,50.8,27949.0
Illinois,Madison,76.3,4138.0,113.0,137.0,12,10,213.0,28500,34650.0,316.0,227.0,36,12372.0,91.0,,5.0,3.1,2.9,0.17,18370.0,0.74,63903.0,43.0,54.0,27.0,54.0,4.0,227.0,151.0,12.0,195,78424,11423.0,86,262635,51.3,35924.0
Illinois,Marion,73.6,758.0,26.0,26.0,14,10,18.0,5200,4026.0,35.0,43.0,37,1805.0,97.0,,12.0,2.9,2.6,0.12,11864.0,0.78,52019.0,64.0,67.0,27.0,10.0,4.0,44.0,23.0,19.0,132,12022,1414.0,82,37045,51.0,17769.0
Illinois,Marshall,77.2,188.0,,,12,9,5.0,1180,549.0,,16.0,35,474.0,27.0,,,3.3,2.9,0.09,13911.0,0.63,54022.0,45.0,,32.0,1.0,,12.0,,5.0,22,3967,340.0,81,11309,50.2,12640.0
Illinois,Mason,75.1,261.0,,,14,10,7.0,1750,1942.0,,18.0,36,611.0,61.0,,,2.8,2.9,0.04,13481.0,0.78,53503.0,46.0,,30.0,6.0,,15.0,,12.0,26,4587,507.0,81,13173,50.4,11364.0
Illinois,Massac,74.8,274.0,10.0,,14,11,,2030,524.0,,18.0,36,667.0,66.0,,,3.1,3.4,0.04,15442.0,0.6,49054.0,64.0,7.0,28.0,2.0,,13.0,,15.0,56,4330,514.0,73,13636,52.0,7793.0
Illinois,Menard,79.9,160.0,,,11,9,14.0,1200,272.0,10.0,21.0,34,480.0,8.0,,,3.2,3.0,0.05,12658.0,0.87,69749.0,35.0,,20.0,2.0,,16.0,,,0,4098,346.0,84,12068,51.2,9617.0
Illinois,Mercer,78.1,231.0,11.0,,12,9,8.0,1570,1234.0,,12.0,34,655.0,33.0,,,2.9,2.8,0.05,13364.0,0.64,62857.0,35.0,,22.0,4.0,,19.0,11.0,,10,5098,512.0,84,15225,50.1,12779.0
Illinois,Monroe,80.7,352.0,,,10,8,7.0,2140,1629.0,14.0,19.0,32,931.0,60.0,,,3.7,3.7,0.03,11115.0,0.83,90880.0,17.0,,18.0,14.0,,18.0,15.0,,141,11526,735.0,87,34739,50.3,13631.0
Illinois,Montgomery,76.1,460.0,15.0,,14,10,33.0,3730,1950.0,28.0,31.0,36,1244.0,107.0,,11.0,2.9,3.0,0.04,11920.0,0.81,59497.0,49.0,,23.0,4.0,,24.0,16.0,7.0,96,8875,815.0,78,28045,47.5,12530.0
Illinois,Morgan,76.7,546.0,16.0,,13,10,24.0,4150,4749.0,15.0,27.0,35,1303.0,87.0,,,3.2,2.7,0.09,14864.0,0.76,54764.0,51.0,54.0,26.0,8.0,,27.0,14.0,,111,9422,1341.0,76,33400,49.3,12878.0
Illinois,Moultrie,77.1,194.0,,,13,9,,1260,91.0,,15.0,35,831.0,14.0,,,3.1,3.0,0.04,11840.0,0.74,61022.0,48.0,,25.0,3.0,,10.0,,8.0,67,4604,428.0,77,14347,51.0,10279.0
Illinois,Ogle,78.5,696.0,17.0,21.0,12,10,26.0,5050,2157.0,27.0,39.0,36,2459.0,38.0,,13.0,3.0,3.1,0.13,14442.0,0.68,71470.0,35.0,66.0,23.0,9.0,,29.0,16.0,4.0,85,15070,2103.0,83,50306,50.4,25197.0
Illinois,Peoria,76.8,2628.0,115.0,152.0,12,10,354.0,20920,24599.0,140.0,135.0,35,8968.0,240.0,,8.0,2.8,2.7,0.29,12217.0,0.75,53506.0,54.0,60.0,32.0,45.0,9.0,136.0,119.0,25.0,328,47855,9308.0,82,177652,51.5,27313.0
Illinois,Perry,77.3,304.0,,,14,11,29.0,2790,2063.0,,22.0,37,870.0,82.0,,,3.0,2.8,0.04,11768.0,0.69,55132.0,50.0,56.0,26.0,5.0,,16.0,,,92,6271,810.0,80,20664,44.9,9754.0
Illinois,Piatt,80.0,172.0,,,11,8,5.0,1270,267.0,,16.0,33,626.0,98.0,,,3.3,3.1,0.05,14566.0,0.77,69521.0,31.0,,21.0,3.0,,,,8.0,44,5561,483.0,84,16355,50.3,11319.0
Illinois,Pike,76.5,266.0,13.0,,14,10,,1870,1655.0,,26.0,35,785.0,85.0,,,3.0,2.5,0.08,13636.0,0.86,48815.0,56.0,,23.0,2.0,,14.0,,0.0,40,4968,513.0,75,15239,49.9,11880.0
Illinois,Pope,79.1,71.0,,,14,10,,620,479.0,,,36,227.0,48.0,,,2.7,2.8,,12797.0,0.71,49071.0,58.0,,30.0,1.0,,,,,0,1286,86.0,61,4142,48.6,4470.0
Illinois,Pulaski,74.0,129.0,,,16,14,14.0,810,992.0,,11.0,40,299.0,,,,2.2,2.3,0.16,15005.0,0.71,40481.0,79.0,35.0,39.0,1.0,,,,0.0,8,1529,199.0,53,5201,51.2,6161.0
