State,County,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Mammography screening,Flu vaccinations,High school completion,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone
State,County,Deaths,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,# Alcohol-Impaired Driving Deaths,# Chlamydia Cases,Teen Birth Rate,# Uninsured,# Primary Care Physicians,# Dentists,# Mental Health Providers,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,# Completed High School,# Some College,# Unemployed,% Children in Poverty,80th Percentile Income,# Children in Single-Parent Households,# Associations,Annual Average Violent Crimes,# Injury Deaths,Average Daily PM2.5,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,# Workers who Drive Alone
Alabama,Macon,476.0,28,5.3,5.7,13.0,23,40,5.6,39,34.0,16.0,222.0,21.0,1349.0,7.0,5.0,75.0,4892.0,35.0,33.0,9971,1993,773.0,39.0,77276.0,1655.0,13,138.0,102.0,9.4,Yes,18,85.0,6910
Alabama,Madison,5088.0,18,4.0,4.9,10.0,16,33,7.4,28,68.0,72.0,2845.0,18.0,28344.0,333.0,207.0,613.0,4296.0,48.0,45.0,231504,72447,8668.0,14.0,137838.0,21482.0,403,2155.0,1352.0,7.5,No,12,85.0,180009
Alabama,Marengo,457.0,27,5.3,5.8,12.0,24,44,6.1,40,42.0,8.0,148.0,25.0,1651.0,7.0,5.0,6.0,4241.0,42.0,37.0,11129,2089,485.0,30.0,84178.0,2221.0,31,88.0,95.0,9.2,No,14,86.0,6840
Alabama,Marion,710.0,24,5.3,6.1,9.0,24,36,7.0,34,40.0,8.0,88.0,39.0,2816.0,8.0,5.0,5.0,6674.0,37.0,37.0,17271,3819,661.0,24.0,78668.0,1361.0,27,89.0,127.0,8.7,No,12,87.0,11465
Alabama,Marshall,1855.0,25,5.1,5.7,8.0,22,38,6.5,36,50.0,18.0,326.0,45.0,12136.0,57.0,35.0,261.0,4199.0,39.0,49.0,53596,12458,1845.0,25.0,98484.0,6434.0,95,272.0,420.0,9.1,No,14,86.0,39287
Alabama,Mobile,7719.0,23,4.8,5.6,12.0,21,36,6.8,32,62.0,122.0,3351.0,31.0,42767.0,284.0,211.0,441.0,5809.0,36.0,42.0,244268,63704,15121.0,27.0,100284.0,34793.0,463,2273.0,1781.0,8.1,No,16,86.0,173223
Alabama,Monroe,458.0,28,5.5,6.1,12.0,25,41,5.8,41,41.0,6.0,117.0,34.0,2083.0,9.0,5.0,22.0,4427.0,38.0,38.0,12262,1611,610.0,30.0,80160.0,2019.0,26,105.0,102.0,9.0,No,10,91.0,6668
Alabama,Montgomery,3676.0,23,4.6,5.3,13.0,20,38,6.8,32,59.0,51.0,2569.0,35.0,21123.0,233.0,177.0,394.0,4723.0,46.0,38.0,131646,39851,8368.0,28.0,104379.0,23278.0,337,1200.0,828.0,8.5,No,18,83.0,98925
Alabama,Morgan,2250.0,22,4.7,5.5,9.0,21,35,7.1,31,56.0,18.0,474.0,35.0,12379.0,61.0,61.0,193.0,5105.0,43.0,45.0,69492,15892,2634.0,20.0,104107.0,6583.0,145,216.0,533.0,7.4,No,12,89.0,51032
Alabama,Perry,222.0,32,6.0,6.2,14.0,25,46,4.1,43,52.0,7.0,73.0,22.0,776.0,3.0,2.0,5.0,5569.0,41.0,27.0,4484,712,373.0,44.0,50784.0,1287.0,9,22.0,43.0,9.0,No,19,80.0,2350
Alabama,Pickens,408.0,28,5.3,5.8,13.0,23,40,7.2,38,4.0,5.0,122.0,32.0,1755.0,8.0,4.0,7.0,5647.0,40.0,46.0,11919,2504,499.0,31.0,89435.0,1750.0,21,35.0,94.0,9.2,No,11,84.0,6705
Alabama,Pike,605.0,24,5.0,5.7,11.0,21,36,6.5,34,61.0,13.0,316.0,17.0,3498.0,14.0,10.0,22.0,4306.0,39.0,33.0,16868,4486,772.0,28.0,95385.0,2624.0,34,188.0,121.0,8.8,No,16,85.0,13661
Alabama,Randolph,486.0,24,5.0,5.8,9.0,23,35,6.5,35,37.0,19.0,126.0,38.0,2165.0,5.0,3.0,6.0,3445.0,32.0,29.0,13102,2377,447.0,27.0,91567.0,1337.0,23,45.0,111.0,9.0,No,13,87.0,8698
Alabama,Russell,1118.0,25,5.0,5.7,11.0,22,39,6.9,36,59.0,15.0,453.0,33.0,5473.0,12.0,15.0,28.0,4599.0,39.0,40.0,33497,10367,1210.0,32.0,83844.0,6012.0,52,306.0,308.0,9.5,No,17,85.0,24000
Alabama,St. Clair,1647.0,21,4.7,5.6,9.0,23,35,7.8,32,51.0,16.0,303.0,28.0,7465.0,14.0,27.0,23.0,4787.0,43.0,43.0,53455,13425,1986.0,15.0,108714.0,3685.0,69,261.0,426.0,9.7,No,11,87.0,39106
Alabama,Shelby,2392.0,16,3.7,4.8,8.0,15,30,8.2,24,79.0,27.0,599.0,12.0,15878.0,182.0,115.0,209.0,3863.0,46.0,47.0,137753,43715,4402.0,8.0,141334.0,8307.0,233,419.0,642.0,10.2,No,10,84.0,106989
Alabama,Sumter,283.0,29,5.5,5.9,14.0,23,44,5.9,40,29.0,8.0,136.0,23.0,1218.0,7.0,2.0,3.0,5634.0,53.0,33.0,6529,1350,331.0,42.0,67285.0,1349.0,12,57.0,69.0,9.3,No,19,83.0,4485
Alabama,Talladega,1751.0,26,5.2,5.9,11.0,25,37,6.8,36,42.0,30.0,543.0,29.0,6969.0,25.0,25.0,19.0,5218.0,39.0,38.0,45910,10598,2532.0,24.0,91543.0,6067.0,99,378.0,403.0,9.7,No,13,84.0,31257
Alabama,Tallapoosa,868.0,24,5.1,5.9,14.0,24,39,7.3,37,63.0,11.0,165.0,35.0,3761.0,20.0,12.0,13.0,3370.0,38.0,46.0,23388,4160,1239.0,26.0,89447.0,3481.0,53,258.0,205.0,9.4,No,16,84.0,15269
Alabama,Tuscaloosa,3009.0,21,4.5,5.4,11.0,20,38,7.4,31,74.0,51.0,1537.0,20.0,17245.0,150.0,103.0,330.0,4916.0,45.0,45.0,117217,36110,6749.0,17.0,108795.0,15018.0,216,819.0,680.0,7.7,No,16,83.0,95478
Alabama,Walker,1775.0,24,5.3,6.1,11.0,26,35,6.8,36,35.0,23.0,180.0,42.0,6674.0,26.0,31.0,68.0,6015.0,45.0,42.0,36445,8372,1446.0,23.0,91134.0,4123.0,91,292.0,367.0,9.5,No,12,84.0,24616
Alabama,Washington,301.0,26,5.5,6.1,12.0,25,40,6.8,38,5.0,6.0,76.0,31.0,1781.0,2.0,2.0,5.0,4883.0,36.0,25.0,9571,1822,539.0,23.0,108474.0,931.0,26,41.0,93.0,9.2,No,10,87.0,5582
Alabama,Wilcox,279.0,33,6.0,6.3,14.0,28,45,4.5,44,1.0,7.0,140.0,43.0,934.0,3.0,1.0,1.0,4597.0,38.0,23.0,5597,972,423.0,29.0,76546.0,1598.0,6,72.0,64.0,9.0,Yes,10,87.0,3170
Alabama,Winston,512.0,26,5.5,6.2,10.0,26,38,7.0,38,76.0,6.0,65.0,41.0,2389.0,8.0,4.0,4.0,11433.0,39.0,39.0,13483,2598,475.0,23.0,82445.0,1384.0,23,24.0,115.0,8.8,Yes,10,76.0,9293
Alaska,Aleutians East,,23,4.0,3.7,,20,32,7.3,28,1.0,,11.0,,691.0,,1.0,3.0,,,,2292,513,100.0,13.0,122388.0,122.0,0,,,,No,14,26.0,2246
Alaska,Aleutians West,,19,3.5,3.4,7.0,17,28,7.8,24,79.0,3.0,14.0,,884.0,2.0,6.0,8.0,,,,3863,978,169.0,6.0,146542.0,135.0,0,13.0,17.0,,No,19,49.0,3673
Alaska,Anchorage,3385.0,15,3.4,3.9,6.0,15,31,8.3,21,82.0,26.0,2771.0,20.0,27810.0,339.0,370.0,1752.0,2386.0,38.0,40.0,180790,64089,10971.0,9.0,155742.0,13949.0,337,3022.0,1295.0,5.4,Yes,17,75.0,150998
Alaska,Bethel,280.0,34,6.5,6.0,7.0,35,38,2.5,33,92.0,5.0,501.0,58.0,2755.0,20.0,26.0,484.0,4721.0,4.0,4.0,8213,1554,805.0,37.0,116592.0,1564.0,8,,192.0,,Yes,61,24.0,6184
Alaska,Bristol Bay,,19,4.1,4.5,,21,34,7.2,22,5.0,,5.0,,103.0,0.0,1.0,0.0,1924.0,38.0,34.0,526,134,31.0,12.0,138000.0,23.0,0,0.0,,,No,12,67.0,436
Alaska,Denali,,16,3.7,4.1,,18,28,4.6,20,44.0,2.0,7.0,,206.0,,0.0,,,,,1824,416,107.0,7.0,136133.0,29.0,0,,,,No,25,33.0,1713
Alaska,Dillingham,87.0,28,5.4,5.3,6.0,31,36,4.5,28,47.0,1.0,85.0,39.0,678.0,13.0,5.0,42.0,5090.0,28.0,17.0,2511,647,143.0,27.0,106875.0,527.0,0,,43.0,,Yes,40,30.0,1844
Alaska,Fairbanks North Star,938.0,16,3.5,3.9,6.0,18,30,7.9,22,47.0,17.0,836.0,23.0,9282.0,85.0,138.0,675.0,1405.0,36.0,38.0,58299,21203,2841.0,8.0,142132.0,4384.0,93,,432.0,11.4,No,24,74.0,50271
Alaska,Haines,,16,3.7,4.2,,18,30,7.1,20,89.0,2.0,6.0,,252.0,7.0,2.0,6.0,832.0,18.0,44.0,1629,377,159.0,18.0,121789.0,44.0,0,4.0,11.0,,No,20,48.0,930
Alaska,Hoonah-Angoon,,21,4.4,4.7,,23,35,4.8,24,,,,37.0,323.0,,0.0,6.0,,,,1639,210,142.0,23.0,113333.0,62.0,0,,,,No,14,38.0,1005
Alaska,Juneau,333.0,15,3.3,3.9,5.0,15,28,8.7,17,100.0,5.0,130.0,10.0,3070.0,40.0,33.0,283.0,1922.0,40.0,50.0,21756,6814,1081.0,12.0,152422.0,1106.0,49,236.0,139.0,6.9,No,14,66.0,16473
Alaska,Kenai Peninsula,808.0,18,3.9,4.3,5.0,20,27,7.4,22,59.0,8.0,155.0,18.0,6432.0,45.0,41.0,191.0,,,,38279,8391,2393.0,15.0,131982.0,2501.0,93,,280.0,,Yes,19,72.0,24031
Alaska,Ketchikan Gateway,163.0,18,3.8,4.2,7.0,20,32,8.3,22,56.0,2.0,79.0,18.0,1547.0,16.0,11.0,169.0,2121.0,40.0,45.0,9097,2226,627.0,10.0,144414.0,695.0,19,30.0,66.0,,Yes,18,66.0,7028
Alaska,Kodiak Island,131.0,16,3.4,3.8,5.0,17,29,7.5,23,99.0,,43.0,16.0,2047.0,16.0,9.0,53.0,2227.0,27.0,42.0,7973,2952,380.0,8.0,128608.0,482.0,19,,46.0,,Yes,23,59.0,7043
Alaska,Kusilvak,137.0,42,7.8,6.7,7.0,43,45,,38,100.0,2.0,320.0,83.0,1197.0,,,10.0,7433.0,3.0,4.0,3179,456,445.0,43.0,71591.0,1120.0,3,,102.0,,Yes,70,5.0,2194
Alaska,Lake and Peninsula,,27,5.5,5.3,5.0,29,37,3.4,28,17.0,,12.0,,266.0,0.0,0.0,3.0,,,,633,204,65.0,23.0,90400.0,69.0,0,,22.0,,Yes,26,23.0,499
Alaska,Matanuska-Susitna,1200.0,17,3.8,4.3,6.0,20,32,7.7,24,30.0,34.0,388.0,16.0,11867.0,55.0,53.0,291.0,2221.0,36.0,34.0,65351,17260,3990.0,10.0,140949.0,4859.0,85,,485.0,4.6,Yes,20,73.0,43011
Alaska,Nome,169.0,28,5.7,5.5,6.0,31,42,5.6,29,46.0,7.0,247.0,59.0,1533.0,12.0,11.0,100.0,7545.0,34.0,5.0,4752,1082,411.0,23.0,124433.0,943.0,6,,101.0,,Yes,51,25.0,3614
Alaska,North Slope,108.0,21,4.4,4.5,6.0,24,35,7.6,24,6.0,1.0,96.0,52.0,1192.0,2.0,7.0,11.0,,,,5489,1545,189.0,14.0,139250.0,757.0,4,79.0,57.0,,No,45,19.0,5070
Alaska,Northwest Arctic,112.0,31,6.1,5.7,8.0,34,39,3.6,29,1.0,0.0,219.0,67.0,1201.0,7.0,1.0,83.0,,,,3593,674,352.0,25.0,139479.0,854.0,5,,88.0,,Yes,49,17.0,2597
Alaska,Petersburg,,16,3.6,4.1,,18,28,8.3,21,,4.0,,,430.0,6.0,3.0,14.0,,,,2215,399,123.0,9.0,126182.0,116.0,3,13.0,12.0,,No,17,53.0,1561
Alaska,Prince of Wales-Hyder,115.0,23,4.8,5.0,5.0,26,37,6.4,25,,3.0,15.0,20.0,945.0,9.0,3.0,37.0,,,,4069,775,260.0,21.0,106769.0,317.0,10,,50.0,,No,19,53.0,2664
Alaska,Sitka,94.0,16,3.6,4.0,5.0,17,29,8.0,20,82.0,,29.0,8.0,951.0,19.0,12.0,210.0,3981.0,40.0,43.0,5830,1802,285.0,8.0,134100.0,359.0,12,9.0,33.0,,No,16,64.0,4634
Alaska,Skagway,,15,3.4,4.0,,17,31,8.2,20,100.0,,,,112.0,0.0,0.0,1.0,983.0,31.0,27.0,930,249,130.0,5.0,114400.0,39.0,0,4.0,,,No,10,40.0,804
Alaska,Southeast Fairbanks,100.0,19,4.0,4.3,4.0,21,32,7.0,23,24.0,2.0,11.0,32.0,1044.0,5.0,4.0,13.0,1710.0,24.0,27.0,4201,937,217.0,15.0,123950.0,250.0,4,,33.0,,No,21,67.0,2665
Alaska,Valdez-Cordova,132.0,16,3.5,4.0,4.0,17,31,7.6,20,64.0,6.0,39.0,13.0,1151.0,12.0,4.0,22.0,,,,6276,1678,395.0,10.0,128479.0,427.0,15,20.0,53.0,,Yes,14,67.0,4764
Alaska,Wrangell,,19,4.1,4.6,,21,31,7.7,22,100.0,,,,344.0,3.0,1.0,60.0,,,,1657,316,83.0,13.0,121052.0,106.0,0,0.0,17.0,,Yes,11,70.0,1011
Alaska,Yakutat,,21,4.3,4.5,,23,34,8.5,23,70.0,,5.0,,83.0,0.0,0.0,2.0,,,,404,137,22.0,24.0,106167.0,7.0,0,,,,No,15,43.0,294
Alaska,Yukon-Koyukuk,98.0,29,5.7,5.5,5.0,31,38,2.2,27,24.0,1.0,78.0,31.0,864.0,1.0,2.0,10.0,,35.0,31.0,2990,574,280.0,28.0,87333.0,543.0,0,,67.0,,Yes,50,25.0,2130
Arizona,Apache,1620.0,31,6.6,6.5,8.0,24,37,2.7,29,16.0,43.0,547.0,30.0,12371.0,31.0,51.0,75.0,4169.0,26.0,40.0,37148,9255,2581.0,44.0,75723.0,7354.0,22,79.0,732.0,2.5,No,29,77.0,18720
Arizona,Cochise,1961.0,22,4.2,4.5,8.0,18,34,6.5,27,57.0,31.0,482.0,30.0,10599.0,75.0,82.0,156.0,2878.0,36.0,32.0,78362,19657,3627.0,21.0,99217.0,7877.0,104,366.0,579.0,5.5,Yes,14,79.0,47285
