State,County,State_County,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation_Black_white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Alabama,Autauga,Alabama_Autauga,76.6,836,27,30,14,11,104,8670,7106,14,74,38,4050,45,89,9.393120393,3.1,2.9,0.06,8600,0.72,67565,45,28,18,15,6,52,49,8,155,16088,2862,83,56145,51.5,22921
Alabama,Baldwin,Alabama_Baldwin,77.7,3377,97,84,13,9,328,28590,14466,118,252,36,17611,70,90,6,3.2,3,0.09,10046,0.75,71135,46,40,17,66,3,214,153,26,134,64716,9296,85,229287,51.6,77060
Alabama,Barbour,Alabama_Barbour,72.9,539,17,115.0238291,19,17,105,5250,2865,125.2815804,50,41,2027,61,85,9.393120393,2.4,2,0.04,8813,0.73,38866,60,20,24,8,11,20,32,24,102,5775,1055,65,24589,47.2,18613
Alabama,Bibb,Alabama_Bibb,73.6,460,15,115.0238291,16,13,40,3680,102,16,41,40,1693,145,92,9.393120393,2.7,2.6,0.09,9909,0.79,50907,59,48,21,5,10,18,20,24.62576375,27,5428,650,76,22136,46.8,15663
Alabama,Blount,Alabama_Blount,74.2,1143,38,31,16,11,35,8380,1440,31,124,39,6076,26,95,14,2.9,2.8,0.11,9021,0.85,55203,52,52,22,16,7,61,59,6,43,16132,1722,80,57879,50.6,51562
Alabama,Bullock,Alabama_Bullock,73.8,203,71.92515924,115.0238291,18,18,52,1610,3529,125.2815804,36,45,706,90,93,9.393120393,2.1,2,0.01,10229,0.68,33124,75,31,36,5,15,94.68310727,13,12,40,2531,387,61,9976,45.3,5607
Alabama,Butler,Alabama_Butler,73.5,441,14,115.0238291,17,15,65,3280,1449,125.2815804,53,42,1621,82,93,9.393120393,2.5,2.1,0.11,9541,0.82,42268,80,29,28,5,19,13,26,24.62576375,58,4872,668,74,19504,53.4,14921
Alabama,Calhoun,Alabama_Calhoun,72.8,2476,57,71,16,13,262,19660,18258,66,176,38,10100,71,93,7,2.9,2.8,0.21,10363,0.78,50259,60,46,19,33,10,126,149,32,171,31370,4144,80,113469,51.9,39955
Alabama,Chambers,Alabama_Chambers,73.8,686,24,24,16,14,115,5190,2772,10,59,41,3001,15,87,13,2.6,2.5,0.16,10198,0.75,39318,71,33,33,12,11,45,45,26,115,9133,1268,75,32865,52.3,16816
Alabama,Cherokee,Alabama_Cherokee,74,600,13,115.0238291,16,11,27,4170,1302,14,58,38,2409,76,92,9.393120393,2.8,2.6,0.07,10804,0.77,50388,61,42,17,7,8,30,33,15,1,8477,649,75,26294,50.4,22282
Alabama,Chilton,Alabama_Chilton,74.4,848,19,22,17,12,50,7590,1907,24,78,39,4575,27,88,9.393120393,2.8,2.7,0.07,8791,0.8,52693,65,35,22,10,5,31,33,24.62576375,42,12878,1679,75,44397,51,37858
Alabama,Choctaw,Alabama_Choctaw,74.2,272,71.92515924,115.0238291,17,15,25,2440,1808,125.2815804,36,42,1060,40,93,9.393120393,2.5,2.1,0.14,11225,0.5,41649,75,43,26,7,7.185520362,94.68310727,87.70101277,8,1,4350,319,63,12418,52.7,13859
Alabama,Clarke,Alabama_Clarke,71.7,536,22,115.0238291,18,15,38,4490,4740,10,54,43,2052,77,91,19,3,2.8,0.03,10634,0.67,44178,71,24,28,10,9,24,27,24.62576375,47,6761,935,63,23291,52.7,19628
Alabama,Clay,Alabama_Clay,72.9,285,71.92515924,115.0238291,18,13,21,2200,414,125.2815804,35,39,1371,46,88,9.393120393,2.8,2.5,0.01,9441,0.78,44763,65,24,21,6,7.185520362,16,15,7,0,3947,326,72,13112,51.3,13932
Alabama,Cleburne,Alabama_Cleburne,74.3,301,11,115.0238291,16,11,13,2710,303,125.2815804,34,38,1357,13,98,9.393120393,3.1,3.1,0.12,9872,0.76,50134,55,38,19,7,7.185520362,13,18,24.62576375,22,4515,390,71,14967,50.9,14972
Alabama,Coffee,Alabama_Coffee,75.3,895,24,23,14,12,76,8130,4491,14,67,37,5167,75,95,9,3,2.9,0.08,9986,0.67,54203,48,41,17,16,6,39,53,17,109,13527,1922,83,53230,50.7,23573
Alabama,Colbert,Alabama_Colbert,73.9,1138,27,39,15,12,58,9040,4806,20,93,40,4388,153,93,9.393120393,3,2.9,0.07,11274,0.72,54185,55,31,24,23,5,53,59,23,156,15609,2113,73,55411,52.1,23891
Alabama,Conecuh,Alabama_Conecuh,71.2,335,71.92515924,115.0238291,17,15,28,1990,1758,125.2815804,26,44,1033,25,93,9.393120393,2.3,2.3,0.23,10704,0.63,34664,66,21,35,3,15,94.68310727,17,8,29,3426,327,62,11851,52.2,10708
Alabama,Coosa,Alabama_Coosa,73.9,253,11,115.0238291,16,13,19,1620,890,125.2815804,33,41,828,19,88.27858293,9.393120393,2.5,2.3,0.01,11482,0.66,46509,64,54,20,2,16,94.68310727,10,24.62576375,20,3256,210,76,10650,49.9,11539
Alabama,Covington,Alabama_Covington,72.9,899,26,115.0238291,16,12,49,6730,2070,18,66,38,3323,95,96,6,2.9,2.7,0.09,9790,0.75,43544,56,42,27,13,6,36,42,24.62576375,52,11137,1379,75,36930,51.7,26304
Alabama,Crenshaw,Alabama_Crenshaw,72.6,337,71.92515924,115.0238291,16,13,20,2150,1878,125.2815804,29,39,1338,88,93,9.393120393,2.8,2.6,0.03,9334,0.75,45927,64,16,21,5,7.185520362,94.68310727,15,17,53,3842,437,67,13681,51.4,13906
Alabama,Cullman,Alabama_Cullman,73.9,1654,36,37,16,11,66,13610,2287,49,145,37,8408,97,95,14,3.1,3,0.05,9949,0.67,51844,51,88,25,23,4,92,70,11,72,23734,2576,79,84515,50.6,58889
Alabama,Dale,Alabama_Dale,74.9,873,28,36,15,13,132,8790,4420,13,73,41,4446,74,96,12,2.9,2.7,0.1,9703,0.7,48493,62,32,19,10,6,50,55,10,76,11380,2173,81,48959,51,25572
Alabama,Dallas,Alabama_Dallas,71.1,934,17,22,18,17,144,7430,3842,125.2815804,95,44,3055,80,93,18,2.5,2.2,0.32,11203,0.74,37679,83,55,31,22,33,25,78,35,108,8731,2040,72,36098,53.8,19999
Alabama,DeKalb,Alabama_DeKalb,73.8,1356,42,45,18,13,61,12300,6057.917337,55,114,39,10032,71,94,10,2.7,2.7,0.16,9314,0.74,47156,66,57,18,14,5,83,68,24.62576375,41,19275,2060,78,71658,50.3,64091
Alabama,Elmore,Alabama_Elmore,75.3,1345,44,46,14,12,186,11280,3953,26,106,39,5242,39,91,14,3,3,0.08,9205,0.76,62524,49,32,19,24,8,88,99,24.62576375,86,22400,2814,84,82158,51.7,42973
Alabama,Escambia,Alabama_Escambia,72.2,839,27,31,18,15,80,6570,2175,36,60,43,3601,74,90,8,2.9,2.7,0.2,10591,0.78,41212,67,29,30,11,13,43,43,24.62576375,65,8593,1391,66,36281,49.8,24337
Alabama,Etowah,Alabama_Etowah,72.5,2329,57,62,16,12,189,17250,13991,67,154,39,9523,93,94,6,3,2.8,0.24,9778,0.71,47872,56,64,18,35,6,99,106,14,184,28285,3630,80,102371,51.6,39144
Alabama,Fayette,Alabama_Fayette,73.1,365,71.92515924,115.0238291,17,12,14,3090,74,12,29,40,1390,62,93,9.393120393,2.9,2.7,0.11,10080,0.74,45937,61,51,24,5,7.185520362,21,16,24.62576375,1,5119,604,70,16241,51.1,13833
Alabama,Franklin,Alabama_Franklin,73.7,585,19,115.0238291,17,13,20,5130,1818,12,67,39,3605,67,93,9.393120393,2.6,2.5,0.18,10189,0.76,40448,45,59,32,6,5,22,24,20,56,7828,902,63,31507,50,22309
Alabama,Geneva,Alabama_Geneva,72.6,601,17,115.0238291,17,12,40,5230,1035,15,51,38,2818,23,96,15,3.1,2.9,0.04,9687,0.89,39882,58,20,24,7,7.185520362,22,19,24.62576375,1,7955,1178,71,26411,51.3,24015
Alabama,Greene,Alabama_Greene,72.9,210,71.92515924,115.0238291,21,21,29,1850,2058,125.2815804,27,48,655,25,88,9.393120393,2.5,2.6,0.086431034,13273,0.78,33609,84,20,32,1,7.185520362,94.68310727,87.70101277,11,30,2179,363,56,7990,53.5,9045
Alabama,Hale,Alabama_Hale,72.5,340,14,115.0238291,18,16,60,2510,1099,125.2815804,28,43,1235,61,93,9.393120393,2.8,2.6,0.29,9637,0.59,41836,67,30,26,5,13,11,20,24.62576375,6,4154,637,63,14670,52.8,14053
Alabama,Henry,Alabama_Henry,75.5,343,11,115.0238291,16,13,38,2490,1392,125.2815804,25,40,1498,23,98,9.393120393,2.8,2.7,0.09,9270,0.78,51126,55,30,18,8,7.185520362,16,17,27,22,5471,598,78,17223,52,15183
Alabama,Houston,Alabama_Houston,75.6,1736,81,86,16,13,350,17160,4308,44,129,40,10648,174,90,10,3,2.8,0.18,9760,0.73,54391,63,47,17,51,8,81,90,30,202,26229,4701,78,106580,52.2,34327
Alabama,Jackson,Alabama_Jackson,73.3,1226,22,24,17,12,39,9390,2859,12,109,40,5254,76,92,8,3.1,2.7,0.11,10268,0.69,46606,58,51,18,10,5,60,61,24.62576375,50,15731,1567,75,51582,50.9,40994
Alabama,Jefferson,Alabama_Jefferson,74.1,11877,505,578,13,13,3709,94780,82879,646,754,40,53693,169,91,8,2.8,2.6,0.36,11620,0.77,57802,54,65,21,324,22,462,1024,12,508,166849,36974,83,655342,52.8,64752
Alabama,Lamar,Alabama_Lamar,75.3,274,71.92515924,115.0238291,17,13,15,2590,61,125.2815804,29,39,1150,65,93,9.393120393,3.1,3.1,0.01,9458,0.87,40204,58,23,27,5,7.185520362,94.68310727,10,7,0,4100,514,65,13764,50.9,14564
Alabama,Lauderdale,Alabama_Lauderdale,75.9,1624,32,43,14,11,97,14340,5999,30,138,38,7991,102,94,9.393120393,3.1,3,0.2,11103,0.74,52293,46,50,25,22,6,74,71,19,162,26209,4194,77,93368,52.1,45701
Alabama,Lawrence,Alabama_Lawrence,72.9,759,19,115.0238291,17,12,24,5850,1839,125.2815804,71,39,3592,37,91,9.393120393,2.9,2.7,0.13,10071,0.71,48924,59,70,27,7,6,36,40,24,33,9842,959,67,32857,51.2,31348
Alabama,Lee,Alabama_Lee,77.7,1915,90,93,14,12,311,23990,15524,42,150,39,13817,72,91,3,3.1,3,0.1,10221,0.8,58963,44,35,22,37,9,105,146,11,202,38483,9023,85,166831,50.9,38441
Alabama,Limestone,Alabama_Limestone,77.1,1429,41,42,14,11,111,13540,5320,15,119,39,8691,61,92,7,2.9,2.8,0.08,9371,0.69,70850,44,43,19,15,6,68,83,8,76,25128,2588,83,102228,50.1,47690
Alabama,Lowndes,Alabama_Lowndes,70.3,267,11,115.0238291,19,18,50,1940,2283,125.2815804,26,46,763,31,98,9.393120393,2.2,2.2,0.09,15440,0.76,37499,96,30,32,2,35,94.68310727,31,10,6,3163,713,53,9641,53.4,11299
Alabama,Macon,Alabama_Macon,71.3,476,71.92515924,115.0238291,17,18,99,2890,4741,125.2815804,38,45,1281,101,88,11,2.3,2,0.06,12362,0.81,37736,97,55,34,10,39,94.68310727,44,9,45,4917,922,67,17895,54.7,11916
Alabama,Madison,Alabama_Madison,77.4,5088,176,213,12,11,820,47180,31281,225,333,38,25999,142,95,5,3.2,3,0.13,9710,0.69,67810,37,48,19,133,8,317,332,19,292,102658,15421,88,379453,51.1,55048
Alabama,Marengo,Alabama_Marengo,71,457,15,115.0238291,17,15,26,3350,2785,125.2815804,35,43,1521,75,91,9.393120393,2.7,2.6,0.17,10992,0.52,43198,68,29,25,10,14,12,22,24.62576375,77,5232,806,66,18733,53.1,14575
Alabama,Marion,Alabama_Marion,73.1,710,20,21,17,12,34,5730,317,125.2815804,49,38,2624,71,92,19,3.1,2.8,0.06,9745,0.75,44333,50,42,25,8,7.185520362,30,31,24.62576375,17,8936,860,70,29703,50.5,27346
Alabama,Marshall,Alabama_Marshall,73.9,1855,50,51,16,12,125,16380,9331,54,152,38,11351,96,94,8,2.8,2.8,0.16,9949,0.75,51417,61,48,17,24,4,85,74,15,116,25598,2972,84,96990,50.7,49550
Alabama,Mobile,Alabama_Mobile,74.4,7719,265,327,15,13,1906,65300,40126,204,553,41,40452,132,86,9,2.8,2.7,0.26,9972,0.7,50871,68,56,24,170,16,315,521,22,324,100955,20843,78,412716,52.5,82682
Alabama,Monroe,Alabama_Monroe,73.3,458,13,115.0238291,18,15,34,4240,2614,125.2815804,57,43,1947,44,91,9.393120393,2.5,2.5,0.35,9803,0.62,38812,69,40,31,10,15,10,19,24.62576375,4,5463,992,48,20459,52.6,18234
Alabama,Montgomery,Alabama_Montgomery,75.2,3676,173,208,14,14,1484,34010,24643,59,228,43,19612,148,87,9,2.5,2.3,0.23,9701,0.79,49607,70,53,24,142,21,129,333,23,438,51588,13819,83,224639,53,24063
Alabama,Morgan,Alabama_Morgan,74.2,2250,65,60,15,12,138,17850,9883,63,137,36,11331,83,93,5,2.9,2.7,0.21,10399,0.71,55688,52,55,24,45,9,140,141,24.62576375,196,33496,4409,77,119883,50.9,46120
Alabama,Perry,Alabama_Perry,70.8,222,71.92515924,115.0238291,20,19,28,1870,2949,125.2815804,27,45,723,69,98,9.393120393,2.3,2,0.086431034,11175,0.76,33712,90,42,32,4,7.185520362,94.68310727,10,24.62576375,19,2458,321,54,8687,53.6,10591
Alabama,Pickens,Alabama_Pickens,73.9,408,12,21,17,15,54,3610,296,14,44,42,1611,35,98,9.393120393,2.9,2.6,0.3,10385,0.76,41870,72,31,26,6,7.185520362,10,13,29,21,5870,750,71,19793,50,19746
Alabama,Pike,Alabama_Pike,73.9,605,15,115.0238291,16,14,118,5640,3452,125.2815804,55,41,3271,94,93,5,2.8,2.9,0.05,10547,0.94,43141,70,24,22,15,13,21,33,36,87,7431,1865,70,32966,52.1,17002
Alabama,Randolph,Alabama_Randolph,73.9,486,17,115.0238291,16,12,16,3520,3021,125.2815804,49,38,2017,83,95,9.393120393,2.8,2.6,0.1,9688,0.74,46679,65,38,20,6,7.185520362,28,28,17,22,6856,817,76,22920,51.5,18638
Alabama,Russell,Alabama_Russell,73.4,1118,43,57,16,15,199,9730,3529,43,115,43,5159,33,94,9.393120393,2.7,2.5,0.06,9570,0.69,40821,68,36,32,17,15,53,90,24.62576375,302,14324,3950,74,58237,52.3,18748
Alabama,St. Clair,Alabama_St. Clair,74.7,1647,43,42,15,11,120,12680,1984,76,130,37,6927,62,93,7,3,2.9,0.05,9108,0.75,61973,43,35,19,20,5,79,74,14,78,26355,2733,82,90739,50.6,60853
Alabama,Shelby,Alabama_Shelby,80.3,2392,87,89,11,9,330,22700,11354,116,172,33,14505,60,95,3,3.2,2.9,0.07,10245,0.74,88444,32,32,14,66,3,148,139,10,148,64906,7135,91,221428,51.7,44762
Alabama,Sumter,Alabama_Sumter,71.9,283,71.92515924,115.0238291,18,18,43,2530,1479,125.2815804,35,44,1132,16,88,9.393120393,2.2,1.8,0.35,12154,0.63,32275,80,26,34,8,19,94.68310727,17,8,8,3367,583,65,12225,54.3,13763
Alabama,Talladega,Alabama_Talladega,72.9,1751,59,49,16,13,176,13530,6453,27,170,42,6542,63,95,12,2.7,2.6,0.12,10307,0.77,44802,68,35,21,29,15,63,109,11,71,22692,3588,79,79985,51.8,45931
Alabama,Tallapoosa,Alabama_Tallapoosa,73.9,868,20,29,16,13,72,6650,1359,18,62,40,3491,100,92,22,2.5,2.3,0.08,9712,0.76,46654,62,38,28,14,8,39,54,22,51,12248,1417,77,40133,51.5,30890
Alabama,Tuscaloosa,Alabama_Tuscaloosa,75.8,3009,134,171,14,12,525,29660,13105,96,226,42,15965,111,90,3,2.9,2.6,0.26,10780,0.8,56610,55,54,19,66,8,130,170,27,358,47018,10438,82,210758,52,49653
Alabama,Walker,Alabama_Walker,69.6,1775,51,53,17,12,78,11950,2492,52,132,41,6062,87,94,6,2.9,2.7,0.1,10189,0.71,46519,54,46,26,12,9,71,76,12,39,19824,2457,76,63143,51.3,49656
Alabama,Washington,Alabama_Washington,75.3,301,12,115.0238291,18,14,14,3050,788,125.2815804,44,40,1607,56,93,9.393120393,2.9,2.7,0.15,9587,0.65,36346,62,29,34,5,13,15,21,9,13,5215,358,69,15976,51.2,17581
Alabama,Wilcox,Alabama_Wilcox,69.8,279,71.92515924,115.0238291,20,19,23,2140,2764,125.2815804,35,44,861,69,88,9.393120393,2,1.9,0.086431034,11877,0.6,31909,94,33,37,6,25,94.68310727,19,5,5,2770,385,63,10206,53,11670
Alabama,Winston,Alabama_Winston,74.8,512,14,115.0238291,18,12,10,4460,415,13,51,39,2224,55,93,9.393120393,2.8,2.7,0.12,10554,0.82,46453,54,84,28,6,6,23,27,9,18,7720,810,71,23508,50.9,20785
Alaska,Aleutians East,Alaska_Aleutians East,112.5,1338.271252,71.92515924,115.0238291,13,13,376.6380917,370,458,125.2815804,97.09736158,39,650,88,88.27858293,9.393120393,3.007479324,2.980549369,0.09,37898,0.87,79128,4,49.10587103,19,40.30616369,7.185520362,94.68310727,87.70101277,0,0,607,80,58,3401,32.6,3141
Alaska,Aleutians West,Alaska_Aleutians West,91.5,33,71.92515924,115.0238291,11,11,376.6380917,650,434,125.2815804,97.09736158,36,807,211,88.27858293,9.393120393,3.007479324,2.980549369,0.22,21718,0.64,92216,18,49.10587103,20,40.30616369,7.185520362,94.68310727,87.70101277,0,0,362,43,79,5680,33.7,5561
Alaska,Anchorage,Alaska_Anchorage,78.7,3385,159,160,10,8,376.6380917,32090,13337,189,171,34,23608,216,84,8,3.007479324,2.980549369,0.1,15314,0.85,84577,43,49,20,105,9,328,333,30,519,66562,13475,92,287095,49.1,12015
Alaska,Bethel,Alaska_Bethel,70.7,280,37,30,21,16,376.6380917,4080,6780,125.2815804,16,38,2314,168,56,13,3.007479324,2.980549369,0.24,36949,1.01,52214,91,12,23,1,16,52,27,83,0,2510,457,73,18437,48,12579
Alaska,Bristol Bay,Alaska_Bristol Bay,76.89593099,1338.271252,71.92515924,115.0238291,12,10,376.6380917,110,116,125.2815804,97.09736158,34,85,381,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,43462,0.78,87032,100,49.10587103,21,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,0,146,14,81,788,48.9,997
Alaska,Denali,Alaska_Denali,89.1,1338.271252,71.92515924,115.0238291,11,9,376.6380917,340,604,125.2815804,97.09736158,32,168,192,78,9.393120393,3.007479324,2.980549369,0.03,10864,0.773833652,80192,1,49.10587103,23,1,7.185520362,94.68310727,87.70101277,0,6,602,51,85,2081,45.4,1826
Alaska,Dillingham,Alaska_Dillingham,70.2,87,12,115.0238291,17,13,376.6380917,810,1525,125.2815804,97.09736158,38,552,124,88.27858293,19,3.007479324,2.980549369,0.22,30172,0.91,72334,97,49.10587103,18,1,7.185520362,11,14,68,0,864,115,73,4833,48.6,4847
Alaska,Fairbanks North Star,Alaska_Fairbanks North Star,80.2,938,57,64,11,8,376.6380917,10990,7544,41,83,33,7781,189,74,9.393120393,3.007479324,2.980549369,0.05,15210,0.83,76650,23,43,26,20,8,132,121,26,147,21315,4125,87,95651,46.1,30124
Alaska,Haines,Alaska_Haines,84.4,34,71.92515924,115.0238291,11,8,376.6380917,350,253,125.2815804,97.09736158,31,206,38,88.27858293,9.393120393,3.007479324,2.980549369,0.07,21019,0.6,105044,40,49.10587103,17,1,7.185520362,94.68310727,87.70101277,0,7,555,72,86,2614,49.8,2508
Alaska,Hoonah-Angoon,Alaska_Hoonah-Angoon,84.3,30,71.92515924,115.0238291,14,11,376.6380917,320,669,125.2815804,97.09736158,35,271,234,88.27858293,9.393120393,3.007479324,2.980549369,0.33,32634,0.65,55593,63,49.10587103,25,1,7.185520362,94.68310727,87.70101277,0,0,553,44,61,2141,45.9,18966.17321
Alaska,Juneau,Alaska_Juneau,81.1,333,10,115.0238291,10,8,376.6380917,3310,613,19,97.09736158,34,2628,119,86,9.393120393,3.007479324,2.980549369,0.04,17377,0.89,89204,29,36,14,9,5,36,23,36,221,8319,1175,91,31849,49.1,6738
Alaska,Kenai Peninsula,Alaska_Kenai Peninsula,79.2,808,32,24,12,8,376.6380917,7890,4359,41,45,34,5324,146,88,6,3.007479324,2.980549369,0.07,17859,0.77,68448,36,64,27,15,4,77,59,25,42,16409,2316,83,59414,47.9,43953
Alaska,Ketchikan Gateway,Alaska_Ketchikan Gateway,80.2,163,71.92515924,115.0238291,12,9,376.6380917,1790,54,125.2815804,97.09736158,32,1306,160,83,9.393120393,3.007479324,2.980549369,0.04,19155,0.85,76780,40,49.10587103,10,5,7.185520362,17,12,66,224,3385,702,87,13747,49,3125
Alaska,Kodiak Island,Alaska_Kodiak Island,80.5,131,71.92515924,115.0238291,10,9,376.6380917,1550,1560,125.2815804,97.09736158,34,1666,123,83,9.393120393,3.007479324,2.980549369,0.11,20579,0.78,72028,49,49.10587103,24,3,7.185520362,18,14,20,116,2102,411,86,12992,46.7,4257
Alaska,Kusilvak,Alaska_Kusilvak,67.7,137,29,26,27,20,376.6380917,2360,6057.917337,125.2815804,97.09736158,42,1012,60,68,30,3.007479324,2.980549369,0.11,12514.70415,0.83,37566,100,49.10587103,21,40.30616369,21,46,27,24.62576375,0,1255,152,66,8328,46.8,18966.17321
Alaska,Lake and Peninsula,Alaska_Lake and Peninsula,76.89593099,25,71.92515924,115.0238291,18,14,376.6380917,230,679,125.2815804,97.09736158,38,218,201,88.27858293,9.393120393,3.007479324,2.980549369,0.4,12514.70415,0.62,54386,84,49.10587103,19,40.30616369,7.185520362,94.68310727,87.70101277,0,0,236,20,69,1493,48.6,1631
Alaska,Matanuska-Susitna,Alaska_Matanuska-Susitna,79,1200,45,34,11,8,376.6380917,12680,7286,57,103,33,9402,91,85,11,3.007479324,2.980549369,0.02,14989,0.75,89502,35,42,18,24,7,131,132,18,58,24545,4046,88,110213,48.1,44759
Alaska,Nome,Alaska_Nome,70.3,169,22,115.0238291,18,14,376.6380917,1890,1442,125.2815804,10,38,1208,161,84,22,3.007479324,2.980549369,0.32,26028,1,64309,93,49.10587103,20,3,7.185520362,36,19,74,0,1716,292,78,9909,47.4,6270
Alaska,North Slope,Alaska_North Slope,76.2,108,12,115.0238291,14,11,376.6380917,1290,670,125.2815804,97.09736158,34,956,65,78,14,3.007479324,2.980549369,0.14,36416,0.94,94759,31,22,17,40.30616369,7.185520362,13,18,65,0,932,162,72,9294,38.8,5595
Alaska,Northwest Arctic,Alaska_Northwest Arctic,71.3,112,20,115.0238291,20,15,376.6380917,1720,2198,125.2815804,97.09736158,40,973,144,68,26,3.007479324,2.980549369,0.13,36689,0.97,65194,94,49.10587103,21,40.30616369,7.185520362,32,18,56,0,1021,130,78,7644,45.9,4323
Alaska,Petersburg,Alaska_Petersburg,80.6,42,71.92515924,115.0238291,11,8,376.6380917,410,25,125.2815804,97.09736158,33,349,91,88.27858293,9.393120393,3.007479324,2.980549369,0.01,20624,0.87,66096,56,49.10587103,22,4,7.185520362,94.68310727,87.70101277,0,0,850,119,80,3296,48.5,18966.17321
Alaska,Prince of Wales-Hyder,Alaska_Prince of Wales-Hyder,76.4,115,71.92515924,115.0238291,15,11,376.6380917,1170,491,125.2815804,11,36,782,130,88.27858293,9.393120393,3.007479324,2.980549369,0.27,31881,0.84,53638,58,49.10587103,22,1,7.185520362,94.68310727,87.70101277,24.62576375,0,1731,181,69,6147,45,18966.17321
Alaska,Sitka,Alaska_Sitka,80.9,94,71.92515924,115.0238291,11,8,376.6380917,980,555,125.2815804,97.09736158,31,800,131,87,9.393120393,3.007479324,2.980549369,0.13,19938,0.76,79363,53,49.10587103,20,5,7.185520362,94.68310727,87.70101277,23,174,2171,348,85,8405,48.8,1854
Alaska,Skagway,Alaska_Skagway,76.89593099,1338.271252,71.92515924,115.0238291,10,8,376.6380917,150,1,125.2815804,97.09736158,31,97,339,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,22922,0.89,78421,2,49.10587103,20,40.30616369,7.185520362,94.68310727,87.70101277,0,67,263,6,89,1179,47.8,18966.17321
Alaska,Southeast Fairbanks,Alaska_Southeast Fairbanks,77.2,100,71.92515924,115.0238291,12,9,376.6380917,990,695,125.2815804,97.09736158,32,850,43,88.27858293,9.393120393,3.007479324,2.980549369,0.28,27423,0.84,64544,46,49.10587103,24,40.30616369,7.185520362,10,12,0,4,1669,139,70,6957,45.5,7029
Alaska,Valdez-Cordova,Alaska_Valdez-Cordova,78,132,71.92515924,115.0238291,11,8,376.6380917,1040,997,125.2815804,14,31,912,107,88.27858293,9.393120393,3.007479324,2.980549369,0.2,21288,0.65,57455.85669,41,49.10587103,25.31464968,40.30616369,7.185520362,94.68310727,87.70101277,23,9,2497,207,83,9346,47,9636
Alaska,Wrangell,Alaska_Wrangell,79.2,39,71.92515924,115.0238291,13,9,376.6380917,340,119,125.2815804,97.09736158,34,280,0,88.27858293,9.393120393,3.007479324,2.980549369,0.04,21393,0.89,64643,3,49.10587103,19,40.30616369,7.185520362,94.68310727,87.70101277,0,0,705,54,81,2510,47.5,18966.17321
Alaska,Yakutat,Alaska_Yakutat,76.89593099,1338.271252,71.92515924,115.0238291,13,11,376.6380917,80,1,125.2815804,97.09736158,36,70,0,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,12514.70415,0.64,68352,6,49.10587103,21,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,0,114,7,82,637,45.7,662
Alaska,Yukon-Koyukuk,Alaska_Yukon-Koyukuk,72.5,98,71.92515924,115.0238291,18,14,376.6380917,1180,2418,125.2815804,97.09736158,39,731,236,67,20,3.007479324,2.980549369,0.33,12514.70415,1.03,43060,42,49.10587103,20,1,32,94.68310727,87.70101277,0,2,1380,144,46,5077,47.2,5588
Arizona,Apache,Arizona_Apache,70.1,1620,51,64,22,16,111,16900,25275,40,307,40,9754,92,79,15,3.007479324,2.980549369,0.61,15448,0.85,36319,63,69,38,14,14,121,61,24.62576375,6,17134,1296,41,71875,50.7,52967
Arizona,Cochise,Arizona_Cochise,78.2,1961,56,56,14,11,212,17830,20429,96,117,35,8334,97,89,10,3.007479324,2.980549369,0.24,10478,0.77,51171,54,59,22,40,3,156,129,24.62576375,93,35181,5244,83,127450,49.2,47680
Arizona,Coconino,Arizona_Coconino,78,1708,66,57,13,9,176,20700,17901,101,209,33,13878,115,84,3,3.007479324,2.980549369,0.23,13839,0.89,57146,42,56,24,62,7,195,112,24.62576375,242,29789,7366,79,142481,50.7,42297
Arizona,Gila,Arizona_Gila,72.7,1274,42,31,15,11,47,9350,5904,50,105,40,4609,79,71,15,3.007479324,2.980549369,0.39,12781,0.77,49280,57,60,28,12,8,108,82,24.62576375,149,16934,2293,72,54303,50.3,22008
Arizona,Graham,Arizona_Graham,77,495,27,115.0238291,15,12,29,5630,5860,30,43,36,2869,92,87,11,3.007479324,2.980549369,0.27,9726,0.79,55419,46,53,20,8,4,34,26,24.62576375,85,8113,1076,79,39211,46.5,17284
