State,County,State_County,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation_Black_white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Virginia,Augusta,Virginia_Augusta,80.1,989,18,115.0238291,12,10,88,6720,5535,35,76,37,4872,121,89,9,3,2.980549369,0.04,10946,0.82,67698,39,53,24,22,2,76,48,23,65,23938,2557,80,76544,49.4,48998
Virginia,Bath,Virginia_Bath,76,86,71.92515924,115.0238291,15,11,376.6380917,440,496,125.2815804,97.09736158,41,272,73,88.27858293,9.393120393,2.9,2.980549369,0.086431034,18652,0.95,56165,55,49.10587103,26,1,7.185520362,94.68310727,87.70101277,24.62576375,12,1499,182,75,4119,49.5,4731
Virginia,Bedford,Virginia_Bedford,79.1,1114,21,24,12,9,72,7130,1105,36,79,36,4918,39,87,9.393120393,3.1,2.980549369,0.04,10756,0.77,70004,40,39,23,22,3,76,60,24,54,26448,1958,80,79811,50.7,53864
Virginia,Bland,Virginia_Bland,76.9,123,71.92515924,115.0238291,13,10,12,690,355,125.2815804,97.09736158,39,280,224,88,9.393120393,3.2,2.980549369,0.086431034,10969,0.78,56637,51,49.10587103,20,2,7.185520362,94.68310727,87.70101277,24.62576375,34,1919,175,64,6239,45.2,6824
Virginia,Botetourt,Virginia_Botetourt,79.7,425,71.92515924,115.0238291,11,9,52,2550,3596,24,24,36,1561,65,92,9.393120393,3.3,2.980549369,0.05,11500,0.76,70803,27,38,18,14,7.185520362,32,26,27,110,11291,865,82,33633,50.4,21247
Virginia,Brunswick,Virginia_Brunswick,76.2,328,71.92515924,115.0238291,15,14,62,2090,1755,14,32,43,1164,19,78,9.393120393,2.4,2.980549369,0.03,13673,0.8,45556,98,28,27,6,7.185520362,10,87.70101277,31,30,4545,614,72,16037,46.3,13164
Virginia,Buchanan,Virginia_Buchanan,73.5,539,71.92515924,115.0238291,18,13,16,4430,268,20,35,42,1629,116,87,21,3.1,2.980549369,0.086431034,11865,0.78,35891,84,68,31,6,7.185520362,26,25,31,13,6602,806,68,20613,49.5,24098
Virginia,Buckingham,Virginia_Buckingham,78.1,263,13,115.0238291,15,13,58,1930,859,125.2815804,42,42,1197,52,88,9.393120393,2.6,2.980549369,0.01,11039,0.85,49339,74,25,25,2,7.185520362,11,10,30,0,4391,798,69,17168,45,17146
Virginia,Campbell,Virginia_Campbell,78.4,811,14,20,13,11,75,5630,1224,30,68,38,4005,18,91,9,3.1,2.980549369,0.04,10564,0.82,59223,47,21,27,21,5,45,42,15,74,16916,1828,77,55304,51.4,33516
Virginia,Caroline,Virginia_Caroline,77.1,505,71.92515924,115.0238291,12,11,58,2230,433,28,42,40,2041,13,89,9.393120393,3.3,2.980549369,0.01,10627,0.8,67663,52,32,21,16,5,28,29,33,47,8823,731,79,30860,50.6,22380
Virginia,Carroll,Virginia_Carroll,78,485,71.92515924,115.0238291,14,10,18,3750,511,14,33,41,2402,83,87,9.393120393,3.3,2.980549369,0.03,11228,0.91,48555,58,49.10587103,23,7,7.185520362,30,19,34,51,9619,1006,71,30074,50.3,29184
Virginia,Charles City,Virginia_Charles City,76.4,144,71.92515924,115.0238291,14,13,16,630,52,125.2815804,18,44,629,73,88.27858293,9.393120393,2.9,2.980549369,0.02,16014,0.88,61850,56,9,24,2,7.185520362,94.68310727,87.70101277,24.62576375,0,2531,379,67,6821,51.5,7256
Virginia,Charlotte,Virginia_Charlotte,74.4,221,71.92515924,115.0238291,16,13,16,1850,1838,13,29,42,965,51,88,9.393120393,3.2,2.980549369,0.02,13219,0.77,45084,58,15,28,1,7.185520362,13,11,23,7,3295,527,67,11820,50.4,12586
Virginia,Chesterfield,Virginia_Chesterfield,78.7,3976,142,161,11,10,678,21790,25904,294,251,36,22994,78,88,8,3.3,2.980549369,0.12,10142,0.84,83598,38,39,20,123,6,269,240,41,313,97590,12063,91,358245,51.9,18749
Virginia,Clarke,Virginia_Clarke,78.9,188,71.92515924,115.0238291,11,9,24,1160,8,125.2815804,16,35,896,27,93,9.393120393,3,2.980549369,0.01,11919,0.82,88407,21,30,18,7,7.185520362,16,12,18,46,4415,730,83,14622,50.6,9757
Virginia,Craig,Virginia_Craig,77.2,93,71.92515924,115.0238291,11,9,376.6380917,540,187,125.2815804,97.09736158,38,214,20,78,9.393120393,3,2.980549369,0.086431034,11738,0.9,57314,55,49.10587103,23,2,7.185520362,94.68310727,87.70101277,28,0,1575,136,76,5077,50.2,5190
Virginia,Culpeper,Virginia_Culpeper,78.4,655,16,115.0238291,12,10,104,3940,1345,47,46,39,3882,93,88,10,2.9,2.980549369,0.03,10692,0.78,80151,47,45,23,17,3,42,29,28,131,12829,1986,86,53569,50.2,28911
Virginia,Cumberland,Virginia_Cumberland,78.6,159,71.92515924,115.0238291,14,12,21,1110,1957,125.2815804,14,41,703,97.26086957,88,9.393120393,3.2,2.980549369,0.01,11876,0.85,51035,80,10,25,2,7.185520362,10,87.70101277,28,14,3128,409,71,9933,51.8,9650
Virginia,Dickenson,Virginia_Dickenson,72.6,363,71.92515924,115.0238291,17,12,376.6380917,2880,6057.917337,18,27,41,941,107,93,9.393120393,3.3,2.980549369,0.086431034,11865,0.81,38394,79,49.10587103,29,2,7.185520362,24,23,31,0,4298,795,68,14078,48.8,15903
Virginia,Dinwiddie,Virginia_Dinwiddie,76.7,467,14,115.0238291,13,12,44,2650,2309,20,29,41,1996,3,82,9.393120393,3.2,2.980549369,0.04,11157,0.82,63567,52,24,23,7,6,23,23,21,90,8033,932,79,28688,50.9,19939
Virginia,Essex,Virginia_Essex,75.9,192,13,115.0238291,15,13,19,1240,1849,125.2815804,19,43,828,55,88,50,3.3,2.980549369,0.01,13440,0.66,56134,84,32,26,6,7.185520362,94.68310727,87.70101277,31,82,3100,658,65,10943,53.1,8617
Virginia,Fairfax,Virginia_Fairfax,85.2,6630,342,382,8,8,2672,66320,16977,314,349,37,76588,108,86,4,3.2,2.980549369,0.11,15690,0.78,132509,31,42,21,547,2,506,277,14,1067,273428,48050,95,1150847,50.3,15079
Virginia,Fauquier,Virginia_Fauquier,80,804,21,22,10,9,100,4490,753,44,73,37,4488,67,91,9.393120393,3.2,2.980549369,0.04,13059,0.76,106977,27,23,20,44,3,49,38,16,180,18939,2425,89,71361,50.5,37489
Virginia,Floyd,Virginia_Floyd,77.7,241,71.92515924,115.0238291,13,10,17,1580,1436,125.2815804,18,39,1237,63,98,9.393120393,2.9,2.980549369,0.03,11262,1.01,54262,47,50,24,5,7.185520362,18,11,24,0,5726,745,74,15777,50,15279
Virginia,Fluvanna,Virginia_Fluvanna,80.4,325,71.92515924,115.0238291,11,9,44,1740,811,12,41,35,1586,33,90,9.393120393,3.4,2.980549369,0.01,11028,0.78,79598,40,16,18,8,7.185520362,20,16,13,6,8215,878,88,27422,54.1,16163
Virginia,Franklin,Virginia_Franklin,77.6,889,25,23,13,10,74,6100,4462,52,67,38,3694,41,88,9.393120393,3.2,2.980549369,0.03,11808,0.8,61714,57,50,25,19,7,50,47,45,47,18549,2359,77,56167,50.7,50111
Virginia,Frederick,Virginia_Frederick,79.5,1073,21,34,11,9,98,6440,3895,62,71,36,5855,31,88.27858293,9.393120393,3.1,2.980549369,0.04,12514.70415,0.81,83033,34,25,19,21,2,76,51,24,182,24939,2720,85,91119,50.2,35059
Virginia,Giles,Virginia_Giles,73.7,369,71.92515924,115.0238291,13,10,10,1790,62,10,15,38,1040,78,85,9.393120393,3.1,2.980549369,0.02,10905,0.75,55983,49,55,23,6,7.185520362,21,20,31,94,5128,562,76,16663,50.8,11458
Virginia,Gloucester,Virginia_Gloucester,77.1,605,13,115.0238291,12,9,47,3540,575,23,39,38,2432,72,87,9.393120393,3.2,2.980549369,0.01,11391,0.76,73893,39,32,20,13,7.185520362,32,29,24,82,11830,1326,86,37459,50.8,23820
Virginia,Goochland,Virginia_Goochland,81,319,71.92515924,115.0238291,10,9,75,1440,516,11,23,36,877,25,95,9.393120393,3.3,2.980549369,0.01,12190,0.7,101927,26,23,17,7,7.185520362,24,14,9,33,7466,637,86,24431,50.7,21064
Virginia,Grayson,Virginia_Grayson,76.9,274,71.92515924,115.0238291,16,12,20,2280,1405,125.2815804,13,40,1098,32,93,9.393120393,3.2,2.980549369,0.05,12567,0.88,45896,68,39,24,3,7.185520362,13,11,19,11,5367,475,74,15493,48.5,15514
