State,County,State_County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Workers_Drive_Alone_to_Work
Missouri,Pemiscot,Missouri_Pemiscot,435,29,5.7,5.7,11,30,39,6.1,44,41,6,173,55,1742,5,1,28,6268,29,33,8491,1588,501,50,84831,1847,22,154,83,8.8,16,85,5511
Missouri,Perry,Missouri_Perry,285,20,4.4,5,6,23,37,8.3,33,44,1,69,25,1713,9,9,15,4776,48,42,11435,2667,562,14,98555,543,24,61,77,8.9,10,88,9174
Missouri,Pettis,Missouri_Pettis,674,22,4.6,5,7,23,38,7.3,36,65,12,161,37,5348,22,25,53,5342,42,48,24636,6014,1408,23,91629,2357,48,153,206,7.7,12,84,18884
Missouri,Phelps,Missouri_Phelps,684,20,4.5,5,8,22,37,6.7,33,73,11,131,20,5346,36,30,153,5733,43,39,24988,6607,943,18,93400,2175,57,152,215,8.2,15,79,18248
Missouri,Pike,Missouri_Pike,285,23,4.7,5.1,8,25,38,7.2,37,28,2,49,29,1676,5,6,10,4883,37,29,10915,1783,412,20,86785,1013,25,22,73,8.9,9,84,7044
Missouri,Platte,Missouri_Platte,1017,15,3.5,4.2,7,15,32,8.3,26,78,20,413,11,7116,85,61,127,3804,52,57,67425,22295,3183,6,145824,4190,100,67,349,8.8,10,82,54581
Missouri,Polk,Missouri_Polk,511,21,4.7,5.2,7,24,37,7.8,34,47,2,95,22,3980,23,9,65,2838,43,30,18311,4018,670,21,94392,1590,30,122,137,8.2,14,80,14251
Missouri,Pulaski,Missouri_Pulaski,610,20,4.3,4.6,7,20,37,5.6,32,71,9,403,23,4553,17,57,118,3401,32,20,27418,11736,822,14,103220,2524,49,145,225,8.1,14,61,28608
Missouri,Putnam,Missouri_Putnam,88,21,4.6,5.1,9,23,36,6.9,35,46,0,11,29,552,2,2,3,5115,43,47,3112,588,100,21,88847,188,5,0,21,7.8,11,77,2062
Missouri,Ralls,Missouri_Ralls,153,20,4.5,5.1,9,24,36,8.3,35,5,7,30,18,904,1,1,5,4409,50,31,6628,1178,251,12,102208,469,8,16,49,8.9,10,84,4740
Missouri,Randolph,Missouri_Randolph,439,22,4.7,5.2,9,25,38,7.3,36,46,5,78,34,2330,9,9,27,3889,42,43,15166,3572,605,14,88211,1336,33,27,77,8.2,13,84,10629
Missouri,Ray,Missouri_Ray,397,19,4.4,5,7,23,37,8.2,32,38,10,62,32,2259,8,3,8,5793,36,49,14198,2535,753,13,110539,833,22,106,115,7.4,9,84,10927
Missouri,Reynolds,Missouri_Reynolds,131,24,5,5.4,9,26,36,5.6,36,44,3,12,46,745,3,3,10,4999,39,32,3697,741,166,32,79708,180,9,13,36,7.9,8,79,2444
Missouri,Ripley,Missouri_Ripley,326,27,5.6,5.8,10,29,40,6.2,41,51,5,16,44,1777,3,77.17398427,9,5049,31,28,7781,1709,394,32,71369,602,14,49,77,8.7,12,79,5145
Missouri,St. Charles,Missouri_St. Charles,4202,14,3.4,4.2,7,16,32,8.8,26,82,51,1181,8,23128,183,248,725,3447,48,57,258641,84149,11735,5,149647,14921,250,485,1630,10,8,83,210484
Missouri,St. Clair,Missouri_St. Clair,190,23,4.9,5.3,6,25,38,7.2,36,29,2,23,30,1088,4,3,3,3384,34,26,6071,903,230,28,82174,288,13,34,50,7.7,15,75,3601
Missouri,Ste. Genevieve,Missouri_Ste. Genevieve,244,19,4.4,5,9,22,37,7.3,32,30,10,46,21,1496,7,3,19,3435,44,39,11612,2588,457,11,121664,577,23,54,83,8.6,10,84,8458
Missouri,St. Francois,Missouri_St. Francois,1301,22,4.7,5.2,9,26,37,6.9,37,55,12,254,33,6205,45,28,185,3935,39,43,40266,10120,1852,19,91079,3481,84,196,328,8.4,13,82,26670
Missouri,St. Louis,Missouri_St. Louis,13821,15,3.6,4.3,10,17,31,8.4,27,91,117,6599,14,65929,1248,874,3235,3934,49,56,650162,193856,32820,12,140391,61521,1013,3452,4956,9.4,13,81,491117
