State,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Drinking_water_violations,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Long_commute_driving_alone
North Carolina,143360,18,3.7,4.4,9,19,34,6.6,26,68,1864,70257,21,1139623,7497,6198,29197,4096,48,53,6281557,1839005,363458,18,113094,627983,11889,35268,42426,7.5,,15,79,4829643
North Dakota,8506,13,3.1,3.7,7,17,36,8.9,28,64,221,3880,18,45186,592,516,1620,3553,53,50,463217,151385,20837,11,122487,33708,1208,1932,2749,6.4,,12,81,401160
Ohio,177010,18,4.2,5.2,9,22,35,6.8,28,77,1875,65393,21,741409,9056,7466,33813,4338,45,51,7276196,1933050,468803,17,113203,694699,12767,33954,55929,9,,13,82,5496532
Oklahoma,64342,21,4.6,5,8,19,37,5.8,33,65,881,23518,31,540944,2432,2487,16830,4346,40,47,2312648,620107,113565,19,106215,247819,4479,16696,18846,9.5,,14,82,1766223
Oregon,49190,17,3.9,4.6,7,15,29,8.1,24,84,680,19279,15,291036,3972,3500,25667,2378,43,44,2684045,810020,159446,12,126927,178232,4242,10027,16114,9,,19,70,1976256
Pennsylvania,172944,18,3.9,4.6,8,18,33,8.4,25,78,1447,61694,15,702689,10474,9091,30391,3966,47,54,8180031,2131526,579932,14,125069,679081,15651,40306,59315,8.3,,15,74,6085959
Rhode Island,12191,16,4,4.5,8,14,30,8.7,26,88,128,5718,12,41789,1066,691,4714,3797,53,45,661112,184051,50836,15,134294,55029,1063,2419,4334,6.8,,17,80,524196
South Carolina,82015,18,4.1,4.5,10,18,36,6.7,29,65,1677,35950,23,540230,3468,2952,9956,3797,48,49,3102292,822590,147189,19,109395,341625,5913,24474,23960,8,,14,82,2304196
South Dakota,10862,15,3.4,3.7,7,19,33,7.3,29,66,223,4547,23,85613,704,555,1796,3539,50,48,535074,150400,21512,14,110085,48656,1427,3204,3709,5.8,,12,80,441356
Tennessee,115955,20,4.5,5.1,9,21,37,6.2,29,62,1280,41089,27,669850,4876,3838,11596,4331,43,50,4102114,1108517,245532,18,108464,424309,7606,40973,33732,8,,14,82,3103430
Texas,329942,21,3.6,3.9,8,15,34,6.1,27,80,4739,129075,29,5114881,17804,17691,38679,4255,39,46,15565117,5106680,1067994,19,128683,1922773,21804,115228,85669,9,,17,79,13307640
Utah,26145,15,3.8,4.4,7,8,30,7.8,19,83,291,11075,15,298395,1846,2234,11792,2110,42,49,1736762,641647,76438,8,131506,134177,1120,6877,10605,5.7,,14,74,1517044
Vermont,7616,13,3.7,4.7,7,16,27,8.7,19,63,109,1718,10,27121,719,456,3184,2965,46,49,413332,102234,18413,10,121102,25106,820,806,2827,6.3,,17,74,322116
Virginia,100719,16,3.7,4.2,8,14,32,8.8,25,78,1243,48169,15,640265,6514,6169,17743,3896,44,51,5268348,1645171,271412,12,152568,444963,9541,17321,28895,7.3,,14,75,4224874
Washington,79649,16,3.9,4.4,7,13,28,8.3,19,79,892,37795,15,487573,6477,6431,33578,2533,40,47,4768368,1540834,329088,11,147813,320290,6443,21080,25947,8.1,,17,70,3629152
West Virginia,36161,24,5.3,6.6,9,26,40,6.6,30,50,364,5609,28,112089,1411,1026,2663,5472,41,42,1124838,243900,66134,20,97032,88475,2356,6073,12039,7.6,,11,82,730395
Wisconsin,69204,15,3.6,4.4,8,16,34,8.7,22,78,1064,29080,14,320719,4639,4182,13227,3260,49,53,3686911,1008989,192793,12,117682,292155,6639,17197,25889,7.5,,14,80,2938013
Wyoming,7629,16,3.5,4.1,9,18,30,7,24,73,197,2189,24,69044,414,404,2148,3155,37,43,367618,102179,17340,10,119290,23926,796,1286,2771,5,,12,77,284673
